doi	affiliations	countries	properties
10.23919/MIPRO.2017.7973449	National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute” (NTUU KPI), Ukraine;National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute” (NTUU KPI), Ukraine;National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute” (NTUU KPI), Ukraine;Ruder Boskovic Institute, Zagreb, Croatia;Ruder Boskovic Institute, Zagreb, Croatia;University of Paris 8, France;CreativiTIC Innova SL, Logroño, Spain;CreativiTIC Innova SL, Logroño, Spain;Medical Research Center “Veritas”, Kyiv, Ukraine;University of Ljubljana, Slovenia;Private Planet, London, United Kingdom;Tallinn University of Technology, Estonia	Croatia;Estonia;France;Slovenia;Spain;Ukraine;United Kingdom	body,involvement,ideation,stakeholders,top down
ieeexploreieeeorgstampstampjsparnumber5603071	Graduate School of System Design, Tokyo Metropolitan University 6-6 asahigaoka, Hino, Tokyo, Japan;Graduate School of System Design, Tokyo Metropolitan University 6-6 asahigaoka, Hino, Tokyo, Japan;Graduate School of System Design, Tokyo Metropolitan University 6-6 asahigaoka, Hino, Tokyo, Japan;Graduate School of System Design, Tokyo Metropolitan University 6-6 asahigaoka, Hino, Tokyo, Japan	Japan	body,stakeholders,top down
10.1109/IMWS-BIO.2013.6756151	Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Kitakyushu, Fukuoka, 808-0135, Japan	Japan	body,involvement,top down
10.1109/ROMAN.2017.8172346	ActivAgeing Living Lab, Troyes University of Technology (France);ActivAgeing Living Lab, Troyes University of Technology (France);Computer Science Department, Universidad Carlos III de Madrid (Spain);Computer Science Department, Universidad Carlos III de Madrid (Spain);Computer Science Department, Universidad Carlos III de Madrid (Spain);Dpto. Tecnología Electrónica, University of Málaga (Spain);Dpto. Tecnología Electrónica, University of Málaga (Spain);Dpto. Tecnología Electrónica, University of Málaga (Spain);Hospital Universitario Virgen del Rocío	France;Spain	body,involvement,stakeholders,top down,context,social robotics,participatory design
10.1109/BioWireleSS.2014.6827735	Institute of Information Systems and Applications, National Tsing Hua University, Hsinchu, Taiwan;Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan;Department of Information Management, China University of Technology, Hsinchu, Taiwan	China;Taiwan	body,furniture,stakeholders,top down,participatory design,wearables
10.1109/ICSIIT.2017.69		Unknown	body,stakeholders,top down
10.1109/MOBIHEALTH.2014.7015901	Agora Center, P.O. Box 35, FI-40014 University of Jyväskylä, Finland;Faculty of Sport and Health Sciences, Health Science, P.O. Box 35, FI-40014 University of Jyväskylä, Finland;Faculty of Information Technology, Computer Science, P.O. Box 35, FI-40014 University of Jyväskylä, Finland	Finland	body,involvement,top down,diversity,feedback
10.1109/ICCAS.2016.7832368	Building Science and Information Lab, Department of Architectural Engineering, Dankook University at Jukjeon, Yongin, Republic of Korea	Unknown	body,participatory design,top down,furniture
10.1109/SAS.2011.5739786	Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan	Japan	body,involvement,top down,furniture
10.1109/TSP.2015.7296410	Department of Cybernetics and Biomedical Engineering, VSB TU Ostrava, 17.listopadu 15, 708 33, Ostrava, Czech Republic;Department of Cybernetics and Biomedical Engineering, VSB TU Ostrava, 17.listopadu 15, 708 33, Ostrava, Czech Republic;Department of Cybernetics and Biomedical Engineering, VSB TU Ostrava, 17.listopadu 15, 708 33, Ostrava, Czech Republic	Czech Republic	participatory design,ideation,top down
10.1109/JPROC.2012.2200559	Intelligent Systems Research Institute, the National Institute of Advanced Science and Technology (AIST), Tsukuba, Japan	Japan	body,involvement,stakeholders,top down,feedback
10.1109/SeGAH.2018.8401385	Empirical Software Engineering in Software, Systems and Services, University of Oulu Oulu, Finland;Empirical Software Engineering in Software, Systems and Services, University of Oulu Oulu, Finland;Center for Ubiquitous Computing, University of Oulu Oulu, Finland	Finland	body,participatory design,top down,workflow
10.1109/SAS.2013.6493579	Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan;Graduate School of Environmental Engineering, The University of Kitakyushu, 1-1 Hibikino, Wakamatsu, Fukuoka, 808-0135, Japan	Japan	furniture,top down
10.1109/HealthCom.2013.6720728	Khalifa University, Sharjah, United Arab Emirates;Khalifa University, Sharjah, United Arab Emirates;KAIST, Daejeon, South Korea	South Korea;United Arab Emirates	body,stakeholders,top down
10.1109/WIRELESSVITAE.2009.5172421	Dept of Medical Informatics and Dept. of Family Medicine, College of Medicine, National Taiwan University, Taiwan;Graduate Institute of Electronics Engineering, College of EE and CS, National Taiwan University, Taiwan;Graduate Institute of Electrical Engineering, College of EE and CS, National Taiwan University, Taiwan;Department of Physiology, University of Toronto, Canada;Department of Family Medicine, National Taiwan University Hospital, Taiwan;Young-Ho Branch, Caridinal Tien Hospital, Taiwan	Canada;Taiwan	body,participatory design,top down
10.4108/ICST.PERVASIVEHEALTH2010.8878	Institut für Informationsverarbeitung, Leibniz Universität Hannover, Germany;Institut für Informationsverarbeitung, Leibniz Universität Hannover, Germany;Institut für Informationsverarbeitung, Leibniz Universität Hannover, Germany;Institut für Informationsverarbeitung, Leibniz Universität Hannover, Germany	Germany	environmental,top down,body
10.1109/IHMSC.2015.193		Unknown	body,participatory design,top down,furniture
10.1109/ICSSSM.2011.5959443	School of Computing, Blekinge Institute of Technology, 371 79 Karlskrona, Sweden;School of Computing, Blekinge Institute of Technology, 371 79 Karlskrona, Sweden	Sweden	body,participatory design,top down
10.1109/ICAwST.2011.6163186	Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan;Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan	Taiwan	body,participatory design,top down
10.1109/AICCSA.2016.7945809	College of Community, Shaqra, Shaqra University, Saudi Arabia;Faculty of Computing, Engineering and Sciences, Staffordshire University, Beaconside, Stafford, UK ST18 0AD;Faculty of Computing, Engineering and Sciences, Staffordshire University, Beaconside, Stafford, UK ST18 0AD	Saudi Arabia	body,involvement,top down,wearables
ieeexploreieeeorgstampstampjsparnumber5333352	Department of, Information and Communications Systems Engineering, Tokyo Metropolitan University, Japan;Department of, Information and Communications Systems Engineering, Tokyo Metropolitan University, Japan;Department of, Information and Communications Systems Engineering, Tokyo Metropolitan University, Japan;Department of Physical Therapy, Tokyo Metropolitan University, Japan;Department of, Information and Communications Systems Engineering, Tokyo Metropolitan University, Japan	Japan	body,top down,furniture
10.1109/CISP-BMEI.2017.8302004	Health Science Center, Shenzhen University, Shenzhen 518060, China;Health Science Center, Shenzhen University, Shenzhen 518060, China;Health Science Center, Shenzhen University, Shenzhen 518060, China;Health Science Center, Shenzhen University, Shenzhen 518060, China	China	body,top down
10.1109/MMM.2014.2356148	Dept of Electrical Eng and Computer Science, University of Tennessee, Knoxville, TN 37996-2250 USA;Dept of Electrical Eng and Computer Science, University of Tennessee, Knoxville, TN 37996-2250 USA;Dept of Electrical Eng and Computer Science, University of Tennessee, Knoxville, TN 37996-2250 USA;Dept of Mechanical, Aerospace and Biomedical Eng, University of Tennessee, Knoxville, TN 37996-2210 USA;Dept of Mechanical, Aerospace and Biomedical Eng, University of Tennessee, Knoxville, TN 37996-2210 USA	Tunisia;United States	body,involvement,ideation,stakeholders,top down,wearables
10.1109/ICCE.2015.7066325	Chemnitz University of Technology, Department of Electrical Engineering and Information Technology, Reichenhainer Str. 70, D-09126, Germany;Chemnitz University of Technology, Department of Electrical Engineering and Information Technology, Reichenhainer Str. 70, D-09126, Germany;Chemnitz University of Technology, Department of Electrical Engineering and Information Technology, Reichenhainer Str. 70, D-09126, Germany;Chemnitz University of Technology, Department of Electrical Engineering and Information Technology, Reichenhainer Str. 70, D-09126, Germany;Chemnitz University of Technology, Department of Electrical Engineering and Information Technology, Reichenhainer Str. 70, D-09126, Germany	Germany	involvement,participatory design,top down,stakeholders
10.4108/icst.pervasivehealth.2011.246038	Department of Computer Science, Aarhus University, Aarhus, Denmark;Department of Computer Science, Aarhus University, Aarhus, Denmark;Department of Computer Science, Aarhus University, Aarhus, Denmark	Denmark	body,ideation,workflow,top down,participatory design
10.1109/ITOEC.2017.8122489	Nanfang College of Sun Yat-Sen University, Guangzhou 510970;Nanfang College of Sun Yat-Sen University, Guangzhou 510970;Nanfang College of Sun Yat-Sen University, Guangzhou 510970;Nanfang College of Sun Yat-Sen University, Guangzhou 510970	Unknown	body,prototype,top down,participatory design
10.1109/ROBIO.2016.7866398	Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China;Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China;Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China;Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China;Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China;Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China;Universiti Teknikal Malaysia Melaka, Durian Tunggal, Alor Gajah, Malacca, Malaysia;Department of System Life Engineering, Maebashi Institute of Technology, Kamisadoricho 460-1, Gunma, 371-0816, Japan;Department of Intelligence Science and Technology, College of Computer and Control Engineering, Nankai University, No.38, Tongyan Road, Tianjin, 300350, China	China;Japan;Malaysia	body,stakeholders,top down,participatory design,wearables
10.1109/IEMBS.2011.6091318	BioRobotics Institute of Scuola Superiore Sant'Anna, Pisa, Italy;BioRobotics Institute of Scuola Superiore Sant'Anna, Pisa, Italy;BioRobotics Institute of Scuola Superiore Sant'Anna, Pisa, Italy;BioRobotics Institute of Scuola Superiore Sant'Anna, Pisa, Italy;BioRobotics Institute of Scuola Superiore Sant'Anna, Pisa, Italy;BioRobotics Institute of Scuola Superiore Sant'Anna, Pisa, Italy	Italy	body,stakeholders,participatory design,top down
10.1109/WODES.2016.7497861	CEDRIC-CNAM, 292 Rue Saint-Martin 75141, Cedex 03 Paris, France;CEDRIC-CNAM, 292 Rue Saint-Martin 75141, Cedex 03 Paris, France;MOVEP, Computer Science Department, USTHB, Algiers, Algeria;Systems Control and Automation Group, School of Electro-Mechanical Engineering, Xidian University, No. 2 South Taibai Road, Xi'an 710071, China	Algeria;China;France	body,involvement,stakeholders,top down,context
10.1109/ICAICT.2011.6110917	Young Researchers Club, Majlesi Branch, Islamic Azad University, Isfahan, Iran;Department of Information Technology, Mashhad Branch, Islamic Azad University, Iran;Biomedical Engineering Dept, Tampere University of Technology, Finland;Department of Biomedical Engineering, Mashhad Branch, Islamic Azad University, Iran;Department of Biomedical Engineering, Mashhad Branch, Islamic Azad University, Iran;Department of Cardiology, Mashhad Branch, Islamic Azad University, Iran	Finland;Iran	participatory design,top down
10.1109/ICOT.2014.6956633	Department of Electrical Engineering, National Cheng Kung University, Tainan City;Department of Electrical Engineering, National Cheng Kung University, Tainan City;Department of Electrical Engineering, National Cheng Kung University, Tainan City	Unknown	body,involvement,furniture,top down,participatory design
10.1145/1957656.1957669	University of Hawaii at Manoa, Department of Anthropology, 2424 Maile Way, Honolulu, 96815, United States;ATR Intelligent Robotics and Communication Laboratory, 2-2-2 Hikaridai, Keihanna, Science City, Kyoto, Japan;ATR Intelligent Robotics and Communication Laboratory, 2-2-2 Hikaridai, Keihanna, Science City, Kyoto, Japan	Japan;United States	involvement,participatory design,top down
